epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7401,3.09121,4.03933,2.46318,0.00296,0.25806,0.00188,0.00056,2.72061,3.65205,2.69898,8e-05,8e-05,0.09208
2,97.4596,2.73553,3.60187,2.18407,0,0,0,0,2.72437,4.05773,2.64453,0.00015317,0.00015317,0.0831532
3,146.264,2.57684,3.44151,2.07237,0,0,0,0,2.77486,4.22925,2.71264,0.00020852,0.00020852,0.0742085
4,195.105,2.53998,3.35179,2.08088,0.00804,0.30645,0.00804,0.00151,2.85915,4.17026,2.83028,0.00024605,0.00024605,0.065246
5,244.251,2.51678,3.2755,2.13646,0.01133,0.62903,0.01262,0.00276,2.63322,3.84219,2.40049,0.00026576,0.00026576,0.0562658
6,296.939,2.54124,3.23905,2.10687,0.00787,0.68548,0.01026,0.00224,2.77137,3.66305,2.50382,0.00026765,0.00026765,0.0472677
7,349.955,2.48481,3.23611,2.15706,0.00694,0.60484,0.01004,0.00216,2.81353,3.51186,2.56457,0.00025172,0.00025172,0.0382517
8,401.981,2.51013,3.20552,2.14375,0.0075,0.65323,0.01181,0.0032,2.58279,3.4191,2.21431,0.00021797,0.00021797,0.029218
9,450.495,2.46023,3.20017,2.06649,0.00898,0.78226,0.01194,0.00332,2.58897,3.36415,2.16248,0.0001664,0.0001664,0.0201664
10,498.249,2.44513,3.24021,2.10915,0.00861,0.75,0.01202,0.00337,2.5785,3.30176,2.14971,9.701e-05,9.701e-05,0.011097
